fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer,BIOME,CONTINENT
"221",5536,0.917635605934238,2.27380952380952,Cascade Mountains leeward forests,"1006",,,Cascade_Mountains_leeward_forest,5,North America
"222",5537,4.42492122163606,0.857142857142857,Cascade Mountains leeward forests,"748",,,Cascade_Mountains_leeward_forest,5,North America
"223",5617,7.40829986673484,0.352272727272727,Cascade Mountains leeward forests,"2490",,,Cascade_Mountains_leeward_forest,5,North America
"224",5618,25.9570192847114,0.738636363636364,Cascade Mountains leeward forests,"6379",,,Cascade_Mountains_leeward_forest,5,North America
"225",5619,18.5537815373621,0.125,Cascade Mountains leeward forests,"4362",,,Cascade_Mountains_leeward_forest,5,North America
"226",5699,22.6120523313577,0.136363636363636,Cascade Mountains leeward forests,"3645",,,Cascade_Mountains_leeward_forest,5,North America
"227",5700,54.1174890250843,0.0454545454545455,Cascade Mountains leeward forests,"1324",,,Cascade_Mountains_leeward_forest,5,North America
"228",4789,2.61007988496343,0.325581395348837,Central British Columbia Mountain forests,"202",,,Central_BC_mountain_forest,5,North America
"229",4871,0.0103454222518284,1.84883720930233,Central British Columbia Mountain forests,"3232",,,Central_BC_mountain_forest,5,North America
"230",4872,0.441254544250394,2.93023255813953,Central British Columbia Mountain forests,"2",,,Central_BC_mountain_forest,5,North America
"231",4953,0.486482106024014,0.386363636363636,Central British Columbia Mountain forests,"46",,,Central_BC_mountain_forest,5,North America
"232",4954,0.70388543483539,0.75,Central British Columbia Mountain forests,"4191",,,Central_BC_mountain_forest,5,North America
"233",4955,2.84370951990293,2.25,Central British Columbia Mountain forests,"81",,,Central_BC_mountain_forest,5,North America
"234",5035,0.647496627667278,0.232558139534884,Central British Columbia Mountain forests,"313",,,Central_BC_mountain_forest,5,North America
"235",5036,0.247483874795077,2.55813953488372,Central British Columbia Mountain forests,"5223",,,Central_BC_mountain_forest,5,North America
"236",5037,1.05734351405864,4.44186046511628,Central British Columbia Mountain forests,"96",,,Central_BC_mountain_forest,5,North America
"237",5118,6.26555513439781,0.244186046511628,Central British Columbia Mountain forests,"2964",,,Central_BC_mountain_forest,5,North America
"238",5119,1.71629670567168,2.36046511627907,Central British Columbia Mountain forests,"5093",,,Central_BC_mountain_forest,5,North America
"239",5199,0.595331829180064,0.511363636363636,Central British Columbia Mountain forests,"483",,,Central_BC_mountain_forest,5,North America
"240",5200,13.257284499584,1.72727272727273,Central British Columbia Mountain forests,"5987",,,Central_BC_mountain_forest,5,North America
"241",5201,2.73985261629596,4.43181818181818,Central British Columbia Mountain forests,"1434",,,Central_BC_mountain_forest,5,North America
